"species","sex","dye_on_stigma","dye_on_anthers","flower","person","bill_stained","date","collection_time","dye_time","notes","bill_type","specialization","dye_on_stigma_binary","dye_on_anthers_binary"
"RTAH","F","N","little","open","Ferne","Y",2025-03-18,1899-12-31 12:00:00,1899-12-31 13:00:00,"Style has little dye low down","RTAH-F","territorial","No","Yes"
"RTAH","M","N","N","open","Ferne","N",2025-03-18,1899-12-31 12:00:00,1899-12-31 13:00:00,NA,"RTAH-M","territorial","No","No"
"CRWO","F","N","N","open","Ferne","Y",2025-03-18,1899-12-31 12:00:00,1899-12-31 13:00:00,NA,"CRWO-F","territorial","No","No"
"CRWO","M","N","N","bagged","Ferne","N",2025-03-18,1899-12-31 12:00:00,1899-12-31 13:00:00,NA,"CRWO-M","territorial","No","No"
"CRWO","F","N","N","open","Ferne","Y",2025-03-29,1899-12-31 16:00:00,1899-12-31 17:00:00,"Bill is only stained a little","CRWO-F","territorial","No","No"
"CRWO","M","N","little","open","Ferne","Y",2025-03-29,1899-12-31 16:00:00,1899-12-31 17:00:00,"Bill is only stained a little","CRWO-M","territorial","No","Yes"
"RTAH","F","N","N","open","Ferne","N",2025-03-29,1899-12-31 16:00:00,1899-12-31 17:00:00,NA,"RTAH-F","territorial","No","No"
"RTAH","M","N","N","open","Ferne","N",2025-03-29,1899-12-31 16:00:00,1899-12-31 17:00:00,NA,"RTAH-M","territorial","No","No"
"VISA","F","little","lots","open","Ferne","Y",2025-03-29,1899-12-31 16:00:00,1899-12-31 17:00:00,"Lots of dye!","VISA-F","trapliner","Yes","Yes"
"VISA","M","lots","lots","open","Ferne","Y",2025-03-29,1899-12-31 16:00:00,1899-12-31 17:00:00,"Went in twice | LOTS of dye","VISA-M","trapliner","Yes","Yes"
"CRWO","F","N","little","open","Mike","Y",2025-04-02,1899-12-31 11:30:00,1899-12-31 14:00:00,"Lots of dye on style","CRWO-F","territorial","No","Yes"
"CRWO","M","N","N","open","Mike","Y",2025-04-02,1899-12-31 11:30:00,1899-12-31 14:00:00,"2 pollen grains stained on the style","CRWO-M","territorial","No","No"
"RTAH","F","N","little","open","Mike","Y",2025-04-02,1899-12-31 11:30:00,1899-12-31 14:00:00,"Bill is likely too small for RTAH | 1 small cluster dyed","RTAH-F","territorial","No","Yes"
"RTAH","M","N","N","open","Mike","N",2025-04-02,1899-12-31 11:30:00,1899-12-31 14:00:00,"Bill is likely too small for RTAH","RTAH-M","territorial","No","No"
"VISA","F","N","Y","bagged","Mike","Y",2025-04-02,1899-12-31 11:30:00,1899-12-31 14:00:00,"Bill might be too small for VISA","VISA-F","trapliner","No","Yes"
"VISA","M","N","Y","bagged","Mike","Y",2025-04-02,1899-12-31 11:30:00,1899-12-31 14:00:00,"Bill might be too small for VISA","VISA-M","trapliner","No","Yes"
"GREH","F","lots","little","bagged","Mike","Y",2025-04-02,1899-12-31 11:30:00,1899-12-31 14:00:00,"Lots of nectar (dilutes the dye)","GREH-F","trapliner","Yes","Yes"
