"species","sex","dye_on_stigma","dye_on_anthers","flower","person","bill_stained","date","collection_time","dye_time","notes","bill_type","dye_on_stigma_binary","dye_on_anthers_binary","specialization"
"GREH","F","lots","lots","treatment","Mike","Y",2025-03-15,1899-12-31 11:00:00,1899-12-31 11:00:00,NA,"GREH-F","Yes","Yes","trapliner"
"GREH","M","little","little","treatment","Mike","N",2025-03-15,1899-12-31 11:00:00,1899-12-31 11:00:00,"Flower broken | Style has lots of dye | Not sure if I trust the lack of stain on the bill","GREH-M","Yes","Yes","trapliner"
"GREH","F","N","N","bagged","Ferne","Y",2025-03-18,1899-12-31 12:00:00,1899-12-31 13:00:00,"Dye halfway up | Style has a little dye","GREH-F","No","No","trapliner"
"GREH","M","N","lots","bagged","Ferne","Y",2025-03-18,1899-12-31 12:00:00,1899-12-31 13:00:00,NA,"GREH-M","No","Yes","trapliner"
"VISA","F","lots","lots","bagged","Ferne","Y",2025-03-18,1899-12-31 12:00:00,1899-12-31 13:00:00,"Lots of nectar (dilutes the dye) | Style has lots of dye","VISA-F","Yes","Yes","trapliner"
"VISA","M","lots","lots","bagged","Ferne","Y",2025-03-18,1899-12-31 12:00:00,1899-12-31 13:00:00,"Dye halfway up | Style has a lots of dye","VISA-M","Yes","Yes","trapliner"
"RTAH","F","N","little","open","Ferne","Y",2025-03-18,1899-12-31 12:00:00,1899-12-31 13:00:00,"Style has little dye low down","RTAH-F","No","Yes","territorial"
"RTAH","M","N","N","open","Ferne","N",2025-03-18,1899-12-31 12:00:00,1899-12-31 13:00:00,NA,"RTAH-M","No","No","territorial"
"CRWO","F","N","N","open","Ferne","Y",2025-03-18,1899-12-31 12:00:00,1899-12-31 13:00:00,NA,"CRWO-F","No","No","territorial"
"CRWO","M","N","N","bagged","Ferne","N",2025-03-18,1899-12-31 12:00:00,1899-12-31 13:00:00,NA,"CRWO-M","No","No","territorial"
"CRWO","F","N","N","open","Ferne","Y",2025-03-29,1899-12-31 16:00:00,1899-12-31 17:00:00,"Bill is only stained a little","CRWO-F","No","No","territorial"
"CRWO","M","N","little","open","Ferne","Y",2025-03-29,1899-12-31 16:00:00,1899-12-31 17:00:00,"Bill is only stained a little","CRWO-M","No","Yes","territorial"
"RTAH","F","N","N","open","Ferne","N",2025-03-29,1899-12-31 16:00:00,1899-12-31 17:00:00,NA,"RTAH-F","No","No","territorial"
"RTAH","M","N","N","open","Ferne","N",2025-03-29,1899-12-31 16:00:00,1899-12-31 17:00:00,NA,"RTAH-M","No","No","territorial"
"VISA","F","little","lots","open","Ferne","Y",2025-03-29,1899-12-31 16:00:00,1899-12-31 17:00:00,"Lots of dye!","VISA-F","Yes","Yes","trapliner"
"VISA","M","lots","lots","open","Ferne","Y",2025-03-29,1899-12-31 16:00:00,1899-12-31 17:00:00,"Went in twice | LOTS of dye","VISA-M","Yes","Yes","trapliner"
"CRWO","F","N","little","open","Mike","Y",2025-04-02,1899-12-31 11:30:00,1899-12-31 14:00:00,"Lots of dye on style","CRWO-F","No","Yes","territorial"
"CRWO","M","N","N","open","Mike","Y",2025-04-02,1899-12-31 11:30:00,1899-12-31 14:00:00,"2 pollen grains stained on the style","CRWO-M","No","No","territorial"
"RTAH","F","N","little","open","Mike","Y",2025-04-02,1899-12-31 11:30:00,1899-12-31 14:00:00,"Bill is likely too small for RTAH | 1 small cluster dyed","RTAH-F","No","Yes","territorial"
"RTAH","M","N","N","open","Mike","N",2025-04-02,1899-12-31 11:30:00,1899-12-31 14:00:00,"Bill is likely too small for RTAH","RTAH-M","No","No","territorial"
"VISA","F","N","Y","bagged","Mike","Y",2025-04-02,1899-12-31 11:30:00,1899-12-31 14:00:00,"Bill might be too small for VISA","VISA-F","No","Yes","trapliner"
"VISA","M","N","Y","bagged","Mike","Y",2025-04-02,1899-12-31 11:30:00,1899-12-31 14:00:00,"Bill might be too small for VISA","VISA-M","No","Yes","trapliner"
"GREH","F","lots","little","bagged","Mike","Y",2025-04-02,1899-12-31 11:30:00,1899-12-31 14:00:00,"Lots of nectar (dilutes the dye)","GREH-F","Yes","Yes","trapliner"
